event_id,event_label,notice_or_source_date,due_or_transaction_date,amount_usd,total_paid_after_usd,unfunded_after_usd,notice_or_primary_efta,approval_or_email_efta,wire_or_bank_efta,db_or_other_ref,notes
1,Capital Call 1,2016-06-20,2016-06-23,250000,250000,24750000,EFTA00593789,EFTA00825184; EFTA00825074,EFTA01286240,DB-SDNY-0005526,"Notice says $250,000 is 1% of $25,000,000 commitment; Kahn asks Epstein if ok to fund; Epstein replies yes; DB statement shows outgoing transfer to Silicon Valley Bank account ending 3301520427 / Valar Global Fund III LP."
2,Capital Call 2,2016-08-09,2016-08-18,1250000,1500000,23500000,"Attachment referenced in EFTA00821145; standalone notice not located in indexed text",EFTA00821145,EFTA01286359,DB-SDNY-0005667,"Email text states $1,250,000 and says after payment STC would have funded $1,500,000 of $25,000,000; Epstein replies yes; DB statement shows outgoing transfer to Silicon Valley Bank / Valar Global Fund III LP."
3,Capital Call 3 inferred from sequence,Not located,2016-12-12,3750000,5250000,19750000,"Standalone notice/email not located in indexed text","Not located",EFTA01286563,DB-SDNY-0005932,"DB statement and transaction charts show $3,750,000 outgoing transfer to Silicon Valley Bank / Valar Global Fund III LP. Call number inferred from sequence; verify against native attachment or visual source if available."
4,Capital Call 4,2017-04-04,2017-04-04,2500000,7750000,17250000,EFTA00811490; EFTA01435885,EFTA01387768,EFTA01299550,DB-SDNY-0028395 / DB-SDNY-0028396,"April 2017 asset summary lists 'Valar III Capital Call 4 (2,500,000)'. Wire authorization is dated 04-04-2017 for $2,500,000 to Valar Global Fund III LP account 3301520427; DB internal email says Southern Trust is wiring $2.5mm; wires/checks/ACH report lists Valar Global Fund III LP and 2500000.00. This item is outside the 11-row DB transaction chart total and is the key reconciliation item."
5,Capital Call 5,2017-04-18,2017-04-20,3000000,10750000,14250000,EFTA00608737; EFTA00810357,EFTA00678950; EFTA01048671,EFTA01286816,DB-SDNY-0006240,"Notice says $3,000,000 is 12% of $25,000,000 and after contribution total is $10,750,000. Kahn asks; Epstein replies yes. DB statement shows outgoing transfer to Silicon Valley Bank / Valar Global Fund III LP."
6,Capital Call 6,2017-07-20,2017-07-24,4250000,15000000,10000000,EFTA00591792; EFTA00810358,EFTA00635135; EFTA00637297,EFTA01286953,DB-SDNY-0006407,"Notice says $4,250,000 is 17% and after contribution total is $15,000,000. Kahn asks; later email says JEE approved capital call. DB statement shows outgoing transfer."
7,Capital Call 7,2017-10-10,2017-10-11,2250000,17250000,7750000,EFTA00810359,EFTA00714098,EFTA01287138,DB-SDNY-0006652,"Notice says $2,250,000 is 9% and after contribution total is $17,250,000. Indexed text has Kahn forward asking if ok to fund; no separate yes/approval hit located yet. DB statement shows outgoing transfer."
8,Capital Call 8,2018-01-03,2018-01-05,1500000,18750000,6250000,EFTA00810360,EFTA00920560; EFTA00920566,EFTA01287332,DB-SDNY-0006901,"Notice says $1,500,000 is 6% and after contribution total is $18,750,000. Kahn forwards; Epstein replies yes. DB statement shows outgoing transfer."
9,Capital Call 9,2018-02-14,2018-02-15,500000,19250000,5750000,EFTA00810361,EFTA00885177; EFTA00885189,"Transaction-chart support located; standalone bank statement not located in indexed text",DB-SDNY-0006985,"Notice says $500,000 is 2% and after contribution total is $19,250,000. Kahn forwards; Epstein replies yes. DB transaction charts carry the $500,000 row."
10,Capital Call 10,2018-05-31,2018-06-01,1750000,21000000,4000000,EFTA00810356,EFTA01047810; EFTA01047837,EFTA01287701,DB-SDNY-0007348,"Notice says $1,750,000 is 7% and after contribution total is $21,000,000. Kahn forwards; Epstein replies yes. DB statement shows outgoing transfer."
11,2019 final draw A,Not located,2019-01-08,2500000,23500000,1500000,"Standalone notice/email not located in indexed text","Not located",EFTA01288200,DB-SDNY-0007987,"Bank statement and DB transaction charts show $2,500,000 outgoing transfer to Silicon Valley Bank / Valar Global Fund III LP. Treat as post-call-10 draw unless a capital-call notice is located."
12,2019 final draw B,Not located,2019-04-17,1500000,25000000,0,"Standalone notice/email not located in indexed text","Not located",EFTA01288388,DB-SDNY-0008222 / DB-SDNY-0008224,"Bank statement and DB transaction charts show $1,500,000 outgoing transfer to Silicon Valley Bank / Valar Global Fund III LP, completing the $25,000,000 commitment when reconciled with the April 2017 $2,500,000 call-4 item."
